str,peak,fin,amplitude,rippleDetection_rippleTrlDef
11625413,11626413,11627413,2.31554932182723,1
11625562,11626562,11627562,4.03199638146712,1
11626684,11627684,11628684,3.70572924243536,1
11651260,11652260,11653260,2.56287259266413,0
11651526,11652526,11653526,3.8362590814288,1
11752689,11753689,11754689,3.14128380476114,1
11907053,11908053,11909053,2.8954551397873,1
16705595,16706595,16707595,3.83706494101051,0
16705708,16706708,16707708,4.12875543423488,0
16710261,16711261,16712261,3.92642524339756,0
16717615,16718615,16719615,2.63622082088009,1
16728200,16729200,16730200,3.0054379222949,0
16736089,16737089,16738089,3.15165477331317,1
16758152,16759152,16760152,2.93288371743384,1
16799331,16800331,16801331,2.37225606224261,1
16841245,16842245,16843245,2.08164576204505,1
16850541,16851541,16852541,4.19078719888619,1
16886937,16887937,16888937,2.8003567337374,1
16896642,16897642,16898642,2.45389232191701,0
16940188,16941188,16942188,2.13058671299257,1
16969608,16970608,16971608,4.00858915300852,1
17026177,17027177,17028177,2.50637004755538,1
17033756,17034756,17035756,4.09486693648783,1
17034243,17035243,17036243,3.51551545977012,1
17055472,17056472,17057472,2.77062852225779,1
17067277,17068277,17069277,2.52192790597781,1
17094993,17095993,17096993,3.30701636044436,1
17097772,17098772,17099772,3.22401779567942,1
17105676,17106676,17107676,2.49721462715998,1
17135185,17136185,17137185,1.97858764078824,0
17171537,17172537,17173537,3.82028692541308,1
17173904,17174904,17175904,3.65197383906751,1
17174349,17175349,17176349,3.51709141818527,1
17182930,17183930,17184930,2.95540484756969,1
17183213,17184213,17185213,3.44749433035836,1
17194308,17195308,17196308,3.06191531743065,1
17204567,17205567,17206567,3.05008729287087,1
17209104,17210104,17211104,3.65920188933893,1
17225136,17226136,17227136,3.11553620010141,1
17231582,17232582,17233582,2.59361339563568,0
17232384,17233384,17234384,3.04667418941269,1
17232580,17233580,17234580,3.20362654959178,1
17240284,17241284,17242284,3.12512611737911,1
17246030,17247030,17248030,3.42900156165313,1
17255063,17256063,17257063,2.59235893186857,1
